,x,y_mean,y_sd,y1,y2,y3,y4,y5
0,0.5000,6.3830,0.3185,6.1569,6.6080,5.8799,6.5226,6.7477
1,1.0000,5.4716,0.3655,5.7596,5.1780,5.7598,4.8968,5.7637
2,1.5000,4.6233,0.0584,4.7244,4.5656,4.5697,4.6453,4.6118
3,2.0000,4.4556,0.7265,3.0619,4.8051,5.1548,4.5137,4.7427
4,2.5000,4.4529,0.3044,4.0939,4.8239,4.1516,4.7765,4.4185
5,3.0000,4.6663,0.2437,4.7483,4.2758,4.9917,4.5321,4.7839
6,3.5000,4.6096,0.0863,4.5255,4.6230,4.7166,4.4969,4.6859
7,4.0000,4.6202,0.3825,3.9139,5.0785,4.6758,4.6925,4.7405
8,4.5000,4.7405,0.2391,4.6555,4.4263,5.0223,4.5829,5.0155
9,9.0000,4.4545,0.1096,4.5951,4.3167,4.5542,4.4587,4.3477
10,9.5000,5.9423,0.2085,5.6608,6.1728,5.7973,6.1900,5.8907
11,10.0000,7.7901,0.2140,7.6617,7.4953,8.1072,7.9418,7.7444
12,8.6000,3.9803,0.1997,3.9885,4.1759,3.6071,4.0034,4.1263
13,8.2000,3.6923,0.7148,4.0171,4.2828,2.4814,4.3834,3.2968
14,7.2000,3.6544,0.2471,4.0481,3.7524,3.4538,3.3384,3.6794
15,6.4000,4.1720,0.2220,4.1234,3.7764,4.4328,4.2270,4.3002
16,7.7000,3.4042,0.1973,3.1443,3.2333,3.5601,3.4076,3.6754
