,x,y_mean,y_sd,y1,y2,y3,y4,y5
0,0.5000,6.3830,0.3185,6.1569,6.6080,5.8799,6.5226,6.7477
1,1.0000,5.4716,0.3655,5.7596,5.1780,5.7598,4.8968,5.7637
2,1.5000,4.6233,0.0584,4.7244,4.5656,4.5697,4.6453,4.6118
3,2.0000,4.4556,0.7265,3.0619,4.8051,5.1548,4.5137,4.7427
4,2.5000,4.4529,0.3044,4.0939,4.8239,4.1516,4.7765,4.4185
5,3.0000,4.6663,0.2437,4.7483,4.2758,4.9917,4.5321,4.7839
6,3.5000,4.6096,0.0863,4.5255,4.6230,4.7166,4.4969,4.6859
7,4.0000,4.6202,0.3825,3.9139,5.0785,4.6758,4.6925,4.7405
8,4.5000,4.7405,0.2391,4.6555,4.4263,5.0223,4.5829,5.0155
9,9.0000,4.4545,0.1096,4.5951,4.3167,4.5542,4.4587,4.3477
10,9.5000,5.9423,0.2085,5.6608,6.1728,5.7973,6.1900,5.8907
11,10.0000,7.7901,0.2140,7.6617,7.4953,8.1072,7.9418,7.7444
12,7.9000,3.2267,0.5070,2.4000,3.0446,3.9023,3.2250,3.5615
13,6.9000,3.6074,0.5738,3.5778,4.4642,3.4452,2.6988,3.8511
14,8.4000,3.3006,0.7383,4.1219,3.0433,3.3878,3.9145,2.0357
15,10.3000,9.7099,0.0592,9.6544,9.7134,9.6376,9.7990,9.7451
16,11.0000,15.2794,0.0514,15.2719,15.2250,15.3128,15.2278,15.3595
17,6.0000,4.4421,0.4911,4.4115,5.0920,4.4284,3.5920,4.6868
18,11.0000,15.2904,0.1535,15.2139,15.5057,15.0466,15.3604,15.3256
19,11.0000,15.2714,0.5096,14.3844,15.8175,15.0618,15.6414,15.4520
20,7.9000,3.4713,0.3935,3.5425,3.5274,3.4300,2.8117,4.0449
21,7.6000,3.4867,0.1255,3.5088,3.5751,3.2596,3.6227,3.4675
