,x,y_mean,y_sd,y1,y2,y3,y4,y5
0,0.5000,6.3830,0.3185,6.1569,6.6080,5.8799,6.5226,6.7477
1,1.0000,5.4716,0.3655,5.7596,5.1780,5.7598,4.8968,5.7637
2,1.5000,4.6233,0.0584,4.7244,4.5656,4.5697,4.6453,4.6118
3,2.0000,4.4556,0.7265,3.0619,4.8051,5.1548,4.5137,4.7427
4,2.5000,4.4529,0.3044,4.0939,4.8239,4.1516,4.7765,4.4185
5,3.0000,4.6663,0.2437,4.7483,4.2758,4.9917,4.5321,4.7839
6,3.5000,4.6096,0.0863,4.5255,4.6230,4.7166,4.4969,4.6859
7,4.0000,4.6202,0.3825,3.9139,5.0785,4.6758,4.6925,4.7405
8,4.5000,4.7405,0.2391,4.6555,4.4263,5.0223,4.5829,5.0155
9,9.0000,4.4545,0.1096,4.5951,4.3167,4.5542,4.4587,4.3477
10,9.5000,5.9423,0.2085,5.6608,6.1728,5.7973,6.1900,5.8907
11,10.0000,7.7901,0.2140,7.6617,7.4953,8.1072,7.9418,7.7444
12,8.3000,3.6311,0.0832,3.6117,3.6728,3.4945,3.6279,3.7485
13,8.1000,3.4960,0.0689,3.5532,3.5920,3.4107,3.4909,3.4331
14,7.9000,3.7811,0.2823,3.8659,4.1958,3.9157,3.4679,3.4602
15,8.2000,3.7388,0.8204,3.9580,2.5300,5.0657,3.4319,3.7084
16,6.6000,4.2765,0.9028,4.6250,2.5940,4.9839,5.0515,4.1282
17,8.1000,3.2916,0.8985,3.5256,3.2923,3.2630,1.7816,4.5958
18,8.0000,3.7835,0.3227,3.9323,3.2973,3.9874,4.1756,3.5250
19,8.1000,3.3654,0.3325,3.7443,3.4664,3.0812,3.6544,2.8809
20,8.1000,3.5436,0.2537,3.5788,3.1071,3.6428,3.5015,3.8879
21,8.1000,3.3733,0.1970,3.3373,3.7356,3.1956,3.2017,3.3965
22,7.9000,3.4366,0.5446,2.7079,3.8403,4.2179,3.0153,3.4016
