No.,H,K,L,Mult,2theta/,Ints/
1,0,0,2,2,34.60437974746836,-157.06487952730672
2,2,0,1,4,34.68720745649477,-305.2438750094245
3,0,2,0,2,37.63407460168159,-484.07456165176416
4,-1,0,2,4,37.841081443706784,-0.44091707245048406
5,0,1,-2,4,39.55038997945493,-620.5389766172837
6,-2,-1,-1,4,39.62284958511424,-622.9751121107429
7,0,2,1,4,41.60905535412109,-0.07398496808375761
8,-1,1,-2,8,42.46523976074312,-0.002200728186701824
9,1,-2,-1,8,44.41215743022065,-0.17697714726608438
10,-2,0,-2,4,46.40096055833394,-1.0820064966919356
11,2,2,0,1,48.82124893914697,-0.03326736895775635
12,3,0,-1,4,49.05097594200122,-0.065129039148983
13,3,1,0,4,49.63810141531339,-0.12619112161161505
14,-2,1,-2,4,50.388370990894586,-0.01715030798583124
15,0,2,2,4,52.04775339694552,-86.36115475787528
16,-2,-2,1,1,52.10832605753856,-21.04026087198327
17,-3,1,-1,8,52.88629868191185,-0.1293140029525779
18,0,0,3,2,52.98855689441717,-0.046736736181413406
19,1,2,2,4,54.43330788288005,-0.14058675851257454
20,1,0,3,4,55.34766328296227,-0.08740582430052167
21,0,-1,3,4,56.63838459681202,-1.0826133591899876
22,3,0,-2,4,58.48558747322812,-0.1078166332688472
23,1,1,-3,1,58.899252431864106,-0.019977691494489143
24,1,3,0,4,60.1048926794612,-0.06380278678403428
25,0,3,-1,4,60.8201152552317,-0.13380182873105348
26,2,-2,2,4,61.215862115378535,-0.414456884848475
27,3,1,-2,8,61.922885636596384,-0.000620729283904112
28,2,0,3,4,62.06545646426571,-182.77629717618672
29,-4,0,0,2,62.2226293337803,-91.02431361188829
30,-1,-3,-1,4,62.988057825266665,-0.03391112916370928
31,-3,-2,1,8,63.42900788632415,-0.050534795264000974
32,4,0,-1,4,65.05116192336257,-0.016452134982489985
33,-2,1,-3,8,65.38941085194504,-0.013809753837576837
34,0,2,3,4,66.80262404058928,-0.037843277099593724
35,-4,1,-1,8,68.30024092286585,-0.17051308841489435
36,-1,2,-3,8,68.87137374921814,-0.08088924483028415
37,0,3,-2,4,69.21322040501389,-92.41859878285035
38,2,-3,1,8,69.26569006070234,-186.09009129967288
39,1,3,-2,8,71.24494306722944,-0.0006044623684387304
40,-3,2,-2,8,71.66322980679492,-0.0969079999626441
41,3,0,-3,4,72.44527082747665,-0.03377669389455213
42,0,0,-4,2,73.00326337641326,-12.311131001413754
43,-4,0,-2,4,73.20013651837603,-25.72737579460464
44,-2,2,-3,8,74.90809566119762,-186.20177813840598
45,-1,0,4,4,74.9912928455552,-0.0018492710922111866
46,4,2,0,4,75.05382476472035,-92.93146194667585
47,3,-1,3,4,75.55120261761266,-0.02885772227005629
48,0,-1,4,4,76.09175803815651,-66.50022511155395
49,-4,1,2,8,76.28586757391672,-130.7571608960622
50,-3,3,0,4,76.61911606491088,-0.023566280785630483
51,-2,3,2,8,77.20645217155761,-0.010238534198314903
52,-4,-2,-1,8,77.66107788734294,-0.018841492653011625
53,-1,-1,-4,1,78.05336938229709,-0.018565510905180667
54,-3,-3,1,1,79.21022861922307,-0.00362688307009843
55,0,4,0,2,80.3495473063477,-37.53780801564557
56,2,0,-4,4,80.86329230692982,-0.33747315858647103
57,0,-3,3,4,82.31307114781859,-0.2991660145245405
58,0,-4,1,4,82.90792339347092,-0.00745019342839856
59,-5,0,1,4,83.02981476139807,-0.009655004082254863
60,-5,1,0,4,83.47732478323957,-0.019608119636998884
61,2,-1,-4,8,83.86786296732768,-0.43432617314100813
62,-1,3,3,4,84.2445697674076,-0.02236574983606665
63,-3,-2,3,8,84.6342854385575,-0.04144040689730214
64,1,4,1,4,84.83527949989963,-0.009306293362848791
65,0,-2,4,4,85.16655595139754,-15.302143473158818
66,-4,-2,-2,4,85.3518878799292,-16.051262719280047
67,5,-1,-1,4,86.02685224699613,-0.011970082654273339
68,4,0,3,4,86.10261001471976,-0.016906164108231248
69,-3,-3,2,1,86.87844431089081,-2.7982942947381453e-05
70,-1,2,-4,8,87.08224066703362,-0.003253697831113118
71,-2,4,0,4,88.04818489956058,-0.0178174799080765
72,4,-1,3,8,89.09077718622869,-0.485099600007844
73,2,3,-3,8,89.98376659292461,-0.005042824921998427
74,3,0,-4,4,90.45949126350324,-0.001634009985123231
75,0,-4,-2,4,90.53402729025083,-13.852491793183777
76,2,-4,-1,8,90.57668450220504,-27.079433511407924
77,5,0,-2,4,90.65144905746256,-0.025865069446037607
78,-1,4,-2,8,92.44600192917036,-0.05010276753937462
79,4,-3,1,8,92.65940418712188,-0.07174432139657085
80,-2,2,4,8,92.82871370527889,-0.46599183386614745
81,3,1,-4,8,93.44441641949294,-0.09605001214467708
82,5,1,-2,8,93.6287352139243,-0.0001127952222687908
83,-5,2,-1,8,94.97978693219324,-0.016116231586212386
84,0,0,5,2,96.0706277911688,-0.2516463115047646
85,1,0,-5,4,97.99729220146668,-0.0532373536938157
86,4,2,-3,8,98.06186564003336,-0.02865952188302142
87,2,4,2,4,98.20429820576902,-0.10135020413842132
88,0,1,5,4,99.0830463091626,-0.07398928294935693
89,3,-3,-3,4,99.59020187666135,-0.01773122106211312
