H,K,L,Distance,2theta/TOF,Mult
1,1,-3,2.9652,30.138843591489394,1
-2,-2,1,2.9651,30.139884150456464,1
0,2,2,2.916,30.65973889291777,4
3,1,-2,2.8932,30.90736345307878,4
2,2,1,2.8251,31.67171451116441,1
1,-1,3,2.7622,32.41256161025175,4
4,0,-1,2.7364,32.726706719952105,2
-4,0,0,2.7264,32.85013626359573,2
2,2,-2,2.6756,33.492041757214835,1
2,0,3,2.616,34.27840110616805,2
4,0,-2,2.5505,35.18706596845183,2
3,-1,2,2.5472,35.23414423679001,4
4,0,1,2.5265,35.53240163682811,2
2,-2,2,2.4785,36.24419182808354,4
3,-1,-3,2.4718,36.34586188730401,4
0,0,-4,2.4312,36.97459912391292,2
0,2,3,2.4219,37.12175329467863,4
1,3,0,2.3712,37.94545840715324,4
2,0,-4,2.3589,38.150944423687164,2
1,1,-4,2.3258,38.71537059992603,1
1,-3,-1,2.3215,38.78994881487581,4
-2,2,3,2.3138,38.924231561929886,4
-1,-3,-1,2.2862,39.41346023255022,4
4,0,-3,2.2643,39.810688340625134,2
-4,0,-2,2.2364,40.32876439627385,2
-1,-1,-4,2.1928,41.16659636667743,1
4,-2,-1,2.1881,41.25904668650762,4
4,2,0,2.183,41.35984746712843,4
1,3,-2,2.1598,41.82483498381878,4
3,-1,3,2.1533,41.957039735808294,4
-2,2,-3,2.125,42.54277097805574,4
5,-1,-1,2.1074,42.91558142761699,4
-1,-3,-2,2.1038,42.99266585894084,4
3,1,-4,2.0896,43.29951393682747,4
4,2,-2,2.0895,43.30169078930628,4
-4,-2,-1,2.0763,43.59102232960101,4
5,1,-2,2.0309,44.617227950966814,4
0,-2,4,2.0224,44.814909352570375,4
-3,3,0,2.0198,44.87573716089427,4
-3,-3,1,2.012,45.05924468937678,1
-5,-1,-1,1.984,45.73091916815173,4
-2,2,4,1.9802,45.823668637951805,4
4,0,-4,1.9706,46.05971966869639,2
-1,3,3,1.9449,46.70417244279828,4
-2,0,5,1.9277,47.14597964286497,2
-3,-3,2,1.9242,47.23694138794627,1
4,2,-3,1.9232,47.26299708230834,4
-4,-2,-2,1.9061,47.713190807984596,4
1,1,-5,1.8995,47.88933008480343,1
5,-1,-3,1.8869,48.22935794817038,4
-1,3,-3,1.8841,48.30559915148462,4
6,0,-1,1.8382,49.59197799314166,2
3,1,4,1.8308,49.806047220443155,4
-5,1,-2,1.8251,49.97224985222297,4
0,4,0,1.822,50.06312479731708,2
-6,0,0,1.8176,50.19269902452772,2
-3,-3,-2,1.8114,50.37646701074114,1
1,1,5,1.8076,50.48979113907772,1
-6,0,2,1.7951,50.86633281719867,2
0,-4,1,1.7908,50.99721580523006,4
3,-3,-3,1.7837,51.21486402814982,4
-3,-1,5,1.7802,51.322867730325825,4
-2,0,-5,1.7491,52.30379247647382,2
6,0,1,1.7392,52.624297700691415,2
-4,-2,4,1.7334,52.813977636451796,4
-2,4,0,1.728,52.99186241336741,4
1,-3,-4,1.7265,53.04149686435356,4
